DATE,spindx
19650121,86.52
19650122,86.74
19650125,86.86
19650126,86.94
19650127,87.23
19650128,87.48
19650129,87.56
19650201,87.58
19650202,87.55
19650203,87.63
19650204,87.57
19650205,87.29
19650208,86.95
19650209,87.24
19650210,86.46
19650211,85.54
19650212,86.17
19650215,86.07
19650216,85.67
19650217,85.77
19650218,86.05
19650219,86.21
19650223,86.64
19650224,87.17
19650225,87.20
19650226,87.43
19650301,87.25
19650302,87.40
19650303,87.26
19650304,86.98
19650305,86.80
19650308,86.83
19650309,86.69
19650310,86.54
19650311,86.90
19650312,87.21
19650315,87.24
19650316,87.13
19650317,87.02
19650318,86.81
19650319,86.84
19650322,86.83
19650323,86.93
19650324,87.09
19650325,86.84
19650326,86.20
19650329,86.03
19650330,86.20
19650331,86.16
19650401,86.32
19650402,86.53
19650405,86.53
19650406,86.50
19650407,86.55
19650408,87.04
19650409,87.56
19650412,87.94
19650413,88.04
19650414,88.24
19650415,88.15
19650419,88.51
19650420,88.46
19650421,88.30
19650422,88.78
19650423,88.88
19650426,88.89
19650427,89.04
19650428,89.00
19650429,88.93
19650430,89.11
19650503,89.23
19650504,89.51
19650505,89.71
19650506,89.92
19650507,89.85
19650510,89.66
19650511,89.55
19650512,89.94
19650513,90.27
19650514,90.10
19650517,89.54
19650518,89.46
19650519,89.67
19650520,89.18
19650521,88.75
19650524,88.09
19650525,88.60
19650526,88.30
19650527,87.84
19650528,88.42
19650601,87.72
19650602,87.09
19650603,86.90
19650604,87.11
19650607,86.88
19650608,85.93
19650609,85.04
19650610,84.73
19650611,85.12
19650614,84.01
19650615,84.49
19650616,85.20
19650617,85.74
19650618,85.34
19650621,85.05
19650622,85.21
19650623,84.67
19650624,83.56
19650625,83.06
19650628,81.60
19650629,82.41
19650630,84.12
19650701,84.48
19650702,85.16
19650706,84.99
19650707,84.67
19650708,85.39
19650709,85.71
19650712,85.69
19650713,85.59
19650714,85.87
19650715,85.72
19650716,85.69
19650719,85.63
19650720,84.55
19650721,84.07
19650722,83.85
19650723,84.07
19650726,84.05
19650727,83.87
19650728,84.03
19650729,84.68
19650730,85.25
19650802,85.42
19650803,85.46
19650804,85.79
19650805,85.79
19650806,86.07
19650809,85.86
19650810,85.87
19650811,86.13
19650812,86.38
19650813,86.77
19650816,86.87
19650817,87.04
19650818,86.99
19650819,86.79
19650820,86.69
19650823,86.56
19650824,86.71
19650825,86.81
19650826,87.14
19650827,87.20
19650830,87.21
19650831,87.17
19650901,87.17
19650902,87.65
19650903,88.06
19650907,88.36
19650908,88.66
19650909,88.89
19650910,89.12
19650913,89.38
19650914,89.03
19650915,89.52
19650916,90.02
19650917,90.05
19650920,90.08
19650921,89.81
19650922,90.22
19650923,89.86
19650924,90.02
19650927,90.65
19650928,90.43
19650929,90.02
19650930,89.96
19651001,89.90
19651004,90.08
19651005,90.63
19651006,90.54
19651007,90.47
19651008,90.85
19651011,91.37
19651012,91.35
19651013,91.34
19651014,91.19
19651015,91.38
19651018,91.68
19651019,91.80
19651020,91.78
19651021,91.94
19651022,91.98
19651025,91.67
19651026,92.20
19651027,92.51
19651028,92.21
19651029,92.42
19651101,92.23
19651103,92.31
19651104,92.46
19651105,92.37
19651108,92.23
19651109,91.93
19651110,91.83
19651111,92.11
19651112,92.55
19651115,92.63
19651116,92.41
19651117,92.60
19651118,92.22
19651119,92.24
19651122,91.64
19651123,91.78
19651124,91.94
19651126,92.03
19651129,91.80
19651130,91.61
19651201,91.50
19651202,91.21
19651203,91.27
19651206,90.59
19651207,91.39
19651208,91.28
19651209,91.56
19651210,91.80
19651213,91.83
19651214,91.88
19651215,92.02
19651216,92.12
19651217,92.08
19651220,91.65
19651221,92.01
19651222,92.29
19651223,92.19
19651227,91.52
19651228,91.53
19651229,91.81
19651230,92.20
19651231,92.43
19660103,92.18
19660104,92.26
19660105,92.85
19660106,93.06
19660107,93.14
19660110,93.33
19660111,93.41
19660112,93.19
